ip,action_method,action_path,score,recon_correlated,history_len,long_history_len,decision
89.243.250.69,GET,/products/11,0,f,10,10,NORMAL
89.243.250.69,GET,/products/2,0,f,11,11,NORMAL
89.243.250.69,GET,/products/16,0,f,12,12,NORMAL
89.243.250.69,GET,/products/18,0,f,13,13,NORMAL
89.243.250.69,GET,/products/4,0,f,14,14,NORMAL
89.243.250.69,GET,/products/5,0,f,15,15,NORMAL
59.40.157.101,POST,/products/8/stock,60,f,1,1,SOSPECHOSO
59.40.157.101,POST,/products/8/stock,60,f,2,2,SOSPECHOSO
59.40.157.101,POST,/products/8/stock,60,f,3,3,SOSPECHOSO
59.40.157.101,POST,/products/8/stock,110,f,4,4,BLOQUEADO
59.40.157.101,POST,/products/8/stock,150,f,5,5,BLOQUEADO
59.40.157.101,POST,/products/8/stock,150,f,6,6,BLOQUEADO
19.120.67.227,GET,/products/,0,f,1,1,NORMAL
19.120.67.227,POST,/products/6/stock,60,f,2,2,SOSPECHOSO
29.17.119.86,GET,/products/,0,f,1,1,NORMAL
29.17.119.86,GET,/products/11,0,f,2,2,NORMAL
29.17.119.86,POST,/products/11/stock,0,f,3,3,NORMAL
29.17.119.86,GET,/products/,0,f,4,4,NORMAL
10.62.56.169,POST,/products/3/stock,60,f,1,1,SOSPECHOSO
10.62.56.169,POST,/products/3/stock,60,f,2,2,SOSPECHOSO
10.62.56.169,POST,/products/3/stock,60,f,3,3,SOSPECHOSO
10.62.56.169,POST,/products/3/stock,110,f,4,4,BLOQUEADO
10.62.56.169,POST,/products/3/stock,150,f,5,5,BLOQUEADO
10.62.56.169,POST,/products/3/stock,150,f,6,6,BLOQUEADO
30.146.140.186,GET,/products/,0,f,1,1,NORMAL
30.146.140.186,GET,/products/10,0,f,2,2,NORMAL
30.146.140.186,POST,/products/10/stock,0,f,3,3,NORMAL
30.146.140.186,GET,/products/,0,f,4,4,NORMAL
29.178.68.109,GET,/products/2,0,f,1,1,NORMAL
29.178.68.109,GET,/products/19,0,f,2,2,NORMAL
29.178.68.109,GET,/products/12,0,f,3,3,NORMAL
29.178.68.109,GET,/products/5,0,f,4,4,NORMAL
29.178.68.109,GET,/products/18,0,f,5,5,NORMAL
29.178.68.109,GET,/products/16,0,f,6,6,NORMAL
29.178.68.109,GET,/products/4,0,f,7,7,NORMAL
29.178.68.109,GET,/products/17,0,f,8,8,NORMAL
29.178.68.109,GET,/products/18,0,f,9,9,NORMAL
29.178.68.109,GET,/products/13,0,f,10,10,NORMAL
29.178.68.109,GET,/products/2,0,f,11,11,NORMAL
29.178.68.109,GET,/products/6,0,f,12,12,NORMAL
29.178.68.109,GET,/products/3,0,f,13,13,NORMAL
29.178.68.109,GET,/products/16,0,f,14,14,NORMAL
29.178.68.109,GET,/products/13,0,f,15,15,NORMAL
44.167.210.216,GET,/products/6,0,f,1,1,NORMAL
44.167.210.216,GET,/products/14,0,f,2,2,NORMAL
44.167.210.216,GET,/products/3,0,f,3,3,NORMAL
44.167.210.216,GET,/products/15,0,f,4,4,NORMAL
44.167.210.216,GET,/products/1,0,f,5,5,NORMAL
44.167.210.216,GET,/products/9,0,f,6,6,NORMAL
44.167.210.216,GET,/products/19,0,f,7,7,NORMAL
44.167.210.216,GET,/products/4,0,f,8,8,NORMAL
44.167.210.216,GET,/products/9,0,f,9,9,NORMAL
44.167.210.216,GET,/products/13,0,f,10,10,NORMAL
44.167.210.216,GET,/products/13,0,f,11,11,NORMAL
44.167.210.216,GET,/products/17,0,f,12,12,NORMAL
44.167.210.216,GET,/products/3,0,f,13,13,NORMAL
44.167.210.216,GET,/products/3,0,f,14,14,NORMAL
44.167.210.216,GET,/products/18,0,f,15,15,NORMAL
16.192.160.161,GET,/products/,0,f,1,1,NORMAL
16.192.160.161,GET,/products/13,0,f,2,2,NORMAL
16.192.160.161,POST,/products/13/stock,0,f,3,3,NORMAL
16.192.160.161,GET,/products/,0,f,4,4,NORMAL
90.12.55.101,GET,/products/,0,f,1,1,NORMAL
90.12.55.101,POST,/products/10/stock,60,f,2,2,SOSPECHOSO
48.2.157.62,GET,/products/,0,f,1,1,NORMAL
48.2.157.62,GET,/products/12,0,f,2,2,NORMAL
48.2.157.62,POST,/products/12/stock,0,f,3,3,NORMAL
48.2.157.62,GET,/products/,0,f,4,4,NORMAL
16.248.234.138,GET,/products/,0,f,1,1,NORMAL
16.248.234.138,GET,/products/1,0,f,2,2,NORMAL
16.248.234.138,GET,/products/2,0,f,3,3,NORMAL
16.248.234.138,GET,/products/3,0,f,4,4,NORMAL
16.248.234.138,POST,/products/7/stock,60,f,5,5,SOSPECHOSO
16.248.234.138,POST,/products/7/stock,60,f,6,6,SOSPECHOSO
16.248.234.138,POST,/products/7/stock,110,f,7,7,BLOQUEADO
16.248.234.138,POST,/products/7/stock,110,f,8,8,BLOQUEADO
16.248.234.138,POST,/products/7/stock,150,f,9,9,BLOQUEADO
11.123.252.251,GET,/products/,0,f,1,1,NORMAL
11.123.252.251,GET,/products/15,0,f,2,2,NORMAL
11.123.252.251,POST,/products/15/stock,0,f,3,3,NORMAL
11.123.252.251,GET,/products/,0,f,4,4,NORMAL
38.57.120.171,GET,/products/,0,f,1,1,NORMAL
38.57.120.171,GET,/products/13,0,f,2,2,NORMAL
38.57.120.171,POST,/products/13/stock,0,f,3,3,NORMAL
38.57.120.171,GET,/products/,0,f,4,4,NORMAL
90.113.63.199,GET,/products/18,0,f,1,1,NORMAL
90.113.63.199,GET,/products/18,0,f,2,2,NORMAL
90.113.63.199,GET,/products/18,0,f,3,3,NORMAL
90.113.63.199,GET,/products/18,50,f,4,4,SOSPECHOSO
90.113.63.199,GET,/products/18,150,t,5,5,BLOQUEADO
96.240.80.157,GET,/products/,0,f,1,1,NORMAL
96.240.80.157,GET,/products/1,0,f,2,2,NORMAL
96.240.80.157,GET,/products/2,0,f,3,3,NORMAL
96.240.80.157,GET,/products/3,0,f,4,4,NORMAL
96.240.80.157,POST,/products/15/stock,60,f,5,5,SOSPECHOSO
96.240.80.157,POST,/products/15/stock,60,f,6,6,SOSPECHOSO
96.240.80.157,POST,/products/15/stock,110,f,7,7,BLOQUEADO
96.240.80.157,POST,/products/15/stock,110,f,8,8,BLOQUEADO
96.240.80.157,POST,/products/15/stock,150,f,9,9,BLOQUEADO
16.179.160.87,GET,/products/,0,f,1,1,NORMAL
16.179.160.87,GET,/products/1,0,f,2,2,NORMAL
16.179.160.87,GET,/products/2,0,f,3,3,NORMAL
16.179.160.87,GET,/products/3,0,f,4,4,NORMAL
16.179.160.87,POST,/products/19/stock,60,f,5,5,SOSPECHOSO
16.179.160.87,POST,/products/19/stock,60,f,6,6,SOSPECHOSO
16.179.160.87,POST,/products/19/stock,110,f,7,7,BLOQUEADO
16.179.160.87,POST,/products/19/stock,110,f,8,8,BLOQUEADO
16.179.160.87,POST,/products/19/stock,150,f,9,9,BLOQUEADO
23.79.88.219,GET,/products/,0,f,1,1,NORMAL
23.79.88.219,GET,/products/8,0,f,2,2,NORMAL
23.79.88.219,POST,/products/8/stock,0,f,3,3,NORMAL
23.79.88.219,GET,/products/,0,f,4,4,NORMAL
75.213.18.136,GET,/products/,0,f,1,1,NORMAL
75.213.18.136,POST,/products/1/stock,60,f,2,2,SOSPECHOSO
15.219.125.58,POST,/products/13/stock,60,f,1,1,SOSPECHOSO
15.219.125.58,POST,/products/13/stock,60,f,2,2,BLOQUEADO
15.219.125.58,POST,/products/13/stock,60,f,3,3,BLOQUEADO
15.219.125.58,POST,/products/13/stock,110,f,4,4,BLOQUEADO
15.219.125.58,POST,/products/13/stock,150,f,5,5,BLOQUEADO
15.219.125.58,POST,/products/13/stock,150,f,6,6,BLOQUEADO
35.224.206.173,GET,/products/,0,f,1,1,NORMAL
35.224.206.173,POST,/products/13/stock,60,f,2,2,BLOQUEADO
78.11.70.25,GET,/products/,0,f,1,1,NORMAL
78.11.70.25,GET,/products/3,0,f,2,2,NORMAL
78.11.70.25,POST,/products/3/stock,0,f,3,3,NORMAL
78.11.70.25,GET,/products/,0,f,4,4,NORMAL
74.133.156.212,GET,/products/,0,f,1,1,NORMAL
74.133.156.212,GET,/products/9,0,f,2,2,NORMAL
74.133.156.212,POST,/products/9/stock,0,f,3,3,NORMAL
74.133.156.212,GET,/products/,0,f,4,4,NORMAL
192.168.143.2,GET,/products/,0,f,1,1,NORMAL
48.33.186.86,GET,/products/,0,f,1,1,NORMAL
48.33.186.86,POST,/products/6/stock,60,f,2,2,BLOQUEADO
60.225.8.26,GET,/products/,0,f,1,1,NORMAL
76.202.235.111,GET,/products/17,0,f,1,1,NORMAL
76.202.235.111,GET,/products/7,0,f,2,2,NORMAL
76.202.235.111,GET,/products/2,0,f,3,3,NORMAL
76.202.235.111,GET,/products/4,0,f,4,4,NORMAL
76.202.235.111,GET,/products/8,0,f,5,5,NORMAL
76.202.235.111,GET,/products/1,0,f,6,6,NORMAL
76.202.235.111,GET,/products/2,0,f,7,7,NORMAL
76.202.235.111,GET,/products/7,0,f,8,8,NORMAL
76.202.235.111,GET,/products/13,0,f,9,9,NORMAL
76.202.235.111,GET,/products/13,0,f,10,10,NORMAL
76.202.235.111,GET,/products/18,0,f,11,11,NORMAL
76.202.235.111,GET,/products/11,0,f,12,12,NORMAL
76.202.235.111,GET,/products/9,0,f,13,13,NORMAL
76.202.235.111,GET,/products/15,0,f,14,14,NORMAL
76.202.235.111,GET,/products/15,0,f,15,15,NORMAL
90.16.34.40,GET,/products/,0,f,1,1,NORMAL
90.16.34.40,GET,/products/10,0,f,2,2,NORMAL
90.16.34.40,POST,/products/10/stock,0,f,3,3,NORMAL
90.16.34.40,GET,/products/,0,f,4,4,NORMAL
91.82.240.191,GET,/products/,0,f,1,1,NORMAL
91.82.240.191,POST,/products/5/stock,60,f,2,2,BLOQUEADO
38.183.27.55,GET,/products/,0,f,1,1,NORMAL
38.183.27.55,POST,/products/18/stock,60,f,2,2,BLOQUEADO
57.58.19.120,GET,/products/,0,f,1,1,NORMAL
57.58.19.120,POST,/products/11/stock,60,f,2,2,BLOQUEADO
83.142.91.19,GET,/products/,0,f,1,1,NORMAL
83.142.91.19,POST,/products/16/stock,60,f,2,2,BLOQUEADO
49.192.77.140,GET,/products/,0,f,1,1,NORMAL
49.192.77.140,GET,/products/1,0,f,2,2,NORMAL
49.192.77.140,GET,/products/2,0,f,3,3,NORMAL
49.192.77.140,GET,/products/3,0,f,4,4,NORMAL
49.192.77.140,POST,/products/6/stock,60,f,5,5,BLOQUEADO
49.192.77.140,POST,/products/6/stock,60,f,6,6,BLOQUEADO
49.192.77.140,POST,/products/6/stock,110,f,7,7,BLOQUEADO
49.192.77.140,POST,/products/6/stock,110,f,8,8,BLOQUEADO
49.192.77.140,POST,/products/6/stock,150,f,9,9,BLOQUEADO
15.172.123.73,POST,/products/19/stock,60,f,1,1,BLOQUEADO
15.172.123.73,POST,/products/19/stock,60,f,2,2,BLOQUEADO
15.172.123.73,POST,/products/19/stock,60,f,3,3,BLOQUEADO
15.172.123.73,POST,/products/19/stock,110,f,4,4,BLOQUEADO
15.172.123.73,POST,/products/19/stock,150,f,5,5,BLOQUEADO
11.255.78.183,GET,/products/,0,f,1,1,NORMAL
11.255.78.183,POST,/products/16/stock,60,f,2,2,BLOQUEADO
96.218.221.27,GET,/products/17,0,f,1,1,NORMAL
96.218.221.27,GET,/products/9,0,f,2,2,NORMAL
96.218.221.27,GET,/products/11,0,f,3,3,NORMAL
96.218.221.27,GET,/products/8,0,f,4,4,NORMAL
96.218.221.27,GET,/products/1,0,f,5,5,NORMAL
96.218.221.27,GET,/products/2,0,f,6,6,NORMAL
96.218.221.27,GET,/products/17,0,f,7,7,NORMAL
96.218.221.27,GET,/products/13,0,f,8,8,NORMAL
96.218.221.27,GET,/products/3,0,f,9,9,NORMAL
96.218.221.27,GET,/products/17,0,f,10,10,NORMAL
96.218.221.27,GET,/products/17,0,f,11,11,NORMAL
96.218.221.27,GET,/products/5,0,f,12,12,NORMAL
96.218.221.27,GET,/products/18,0,f,13,13,NORMAL
96.218.221.27,GET,/products/19,0,f,14,14,NORMAL
96.218.221.27,GET,/products/12,0,f,15,15,NORMAL
65.28.66.221,POST,/products/5/stock,60,f,1,1,BLOQUEADO
65.28.66.221,POST,/products/5/stock,60,f,2,2,BLOQUEADO
65.28.66.221,POST,/products/5/stock,60,f,3,3,BLOQUEADO
65.28.66.221,POST,/products/5/stock,110,f,4,4,BLOQUEADO
65.28.66.221,POST,/products/5/stock,150,f,5,5,BLOQUEADO
65.28.66.221,POST,/products/5/stock,150,f,6,6,BLOQUEADO
74.15.126.240,GET,/products/19,0,f,1,1,NORMAL
74.15.126.240,GET,/products/19,0,f,2,2,NORMAL
74.15.126.240,GET,/products/19,0,f,3,3,NORMAL
74.15.126.240,GET,/products/19,50,f,4,4,SOSPECHOSO
74.15.126.240,GET,/products/19,150,t,5,5,BLOQUEADO
62.117.152.178,GET,/products/12,0,f,1,1,NORMAL
62.117.152.178,GET,/products/14,0,f,2,2,NORMAL
62.117.152.178,GET,/products/7,0,f,3,3,NORMAL
62.117.152.178,GET,/products/11,0,f,4,4,NORMAL
62.117.152.178,GET,/products/17,0,f,5,5,NORMAL
62.117.152.178,GET,/products/8,0,f,6,6,NORMAL
62.117.152.178,GET,/products/9,0,f,7,7,NORMAL
62.117.152.178,GET,/products/1,0,f,8,8,NORMAL
62.117.152.178,GET,/products/10,0,f,9,9,NORMAL
62.117.152.178,GET,/products/4,0,f,10,10,NORMAL
62.117.152.178,GET,/products/5,0,f,11,11,NORMAL
62.117.152.178,GET,/products/13,0,f,12,12,NORMAL
62.117.152.178,GET,/products/6,0,f,13,13,NORMAL
62.117.152.178,GET,/products/2,0,f,14,14,NORMAL
62.117.152.178,GET,/products/1,0,f,15,15,NORMAL
24.88.250.209,GET,/products/4,0,f,1,1,NORMAL
24.88.250.209,GET,/products/4,0,f,2,2,NORMAL
24.88.250.209,GET,/products/3,0,f,3,3,NORMAL
24.88.250.209,GET,/products/16,0,f,4,4,NORMAL
24.88.250.209,GET,/products/12,0,f,5,5,NORMAL
24.88.250.209,GET,/products/13,0,f,6,6,NORMAL
24.88.250.209,GET,/products/7,0,f,7,7,NORMAL
24.88.250.209,GET,/products/7,0,f,8,8,NORMAL
24.88.250.209,GET,/products/14,0,f,9,9,NORMAL
24.88.250.209,GET,/products/18,0,f,10,10,NORMAL
24.88.250.209,GET,/products/14,0,f,11,11,NORMAL
24.88.250.209,GET,/products/2,0,f,12,12,NORMAL
24.88.250.209,GET,/products/5,0,f,13,13,NORMAL
24.88.250.209,GET,/products/17,0,f,14,14,NORMAL
24.88.250.209,GET,/products/5,0,f,15,15,NORMAL
18.50.170.132,GET,/products/,0,f,1,1,NORMAL
18.50.170.132,GET,/products/6,0,f,2,2,NORMAL
18.50.170.132,POST,/products/6/stock,0,f,3,3,NORMAL
18.50.170.132,GET,/products/,0,f,4,4,NORMAL
56.31.10.12,GET,/products/12,0,f,1,1,NORMAL
56.31.10.12,GET,/products/2,0,f,2,2,NORMAL
56.31.10.12,GET,/products/17,0,f,3,3,NORMAL
56.31.10.12,GET,/products/4,0,f,4,4,NORMAL
56.31.10.12,GET,/products/12,0,f,5,5,NORMAL
56.31.10.12,GET,/products/8,0,f,6,6,NORMAL
56.31.10.12,GET,/products/9,0,f,7,7,NORMAL
56.31.10.12,GET,/products/10,0,f,8,8,NORMAL
56.31.10.12,GET,/products/15,0,f,9,9,NORMAL
56.31.10.12,GET,/products/8,0,f,10,10,NORMAL
56.31.10.12,GET,/products/14,0,f,11,11,NORMAL
56.31.10.12,GET,/products/10,0,f,12,12,NORMAL
56.31.10.12,GET,/products/7,0,f,13,13,NORMAL
56.31.10.12,GET,/products/8,0,f,14,14,NORMAL
56.31.10.12,GET,/products/17,0,f,15,15,NORMAL
99.188.7.196,GET,/products/,0,f,1,1,NORMAL
99.188.7.196,POST,/products/11/stock,60,f,2,2,BLOQUEADO
69.101.166.119,GET,/products/1,0,f,1,1,NORMAL
69.101.166.119,GET,/products/1,0,f,2,2,NORMAL
69.101.166.119,GET,/products/1,0,f,3,3,NORMAL
69.101.166.119,GET,/products/1,50,f,4,4,SOSPECHOSO
69.101.166.119,GET,/products/1,150,t,5,5,BLOQUEADO
73.10.171.28,GET,/products/,0,f,1,1,NORMAL
73.10.171.28,POST,/products/15/stock,60,f,2,2,BLOQUEADO
97.170.14.50,POST,/products/4/stock,60,f,1,1,BLOQUEADO
97.170.14.50,POST,/products/4/stock,60,f,2,2,BLOQUEADO
97.170.14.50,POST,/products/4/stock,60,f,3,3,BLOQUEADO
97.170.14.50,POST,/products/4/stock,110,f,4,4,BLOQUEADO
97.170.14.50,POST,/products/4/stock,150,f,5,5,BLOQUEADO
97.170.14.50,POST,/products/4/stock,150,f,6,6,BLOQUEADO
94.189.204.207,GET,/products/,0,f,1,1,NORMAL
94.189.204.207,POST,/products/17/stock,60,f,2,2,BLOQUEADO
90.66.87.141,GET,/products/14,0,f,1,1,NORMAL
90.66.87.141,GET,/products/14,0,f,2,2,NORMAL
90.66.87.141,GET,/products/14,0,f,3,3,NORMAL
90.66.87.141,GET,/products/14,50,f,4,4,SOSPECHOSO
90.66.87.141,GET,/products/14,150,t,5,5,BLOQUEADO
71.249.184.170,GET,/products/5,0,f,1,1,NORMAL
71.249.184.170,GET,/products/5,0,f,2,2,NORMAL
71.249.184.170,GET,/products/5,0,f,3,3,NORMAL
71.249.184.170,GET,/products/5,50,f,4,4,SOSPECHOSO
71.249.184.170,GET,/products/5,150,t,5,5,BLOQUEADO
95.33.242.203,POST,/products/5/stock,60,f,1,1,BLOQUEADO
95.33.242.203,POST,/products/5/stock,60,f,2,2,BLOQUEADO
95.33.242.203,POST,/products/5/stock,60,f,3,3,BLOQUEADO
99.236.197.38,GET,/products/18,0,f,1,1,NORMAL
99.236.197.38,GET,/products/4,0,f,2,2,NORMAL
99.236.197.38,GET,/products/4,0,f,3,3,NORMAL
99.236.197.38,GET,/products/2,0,f,4,4,NORMAL
99.236.197.38,GET,/products/11,0,f,5,5,NORMAL
99.236.197.38,GET,/products/4,0,f,6,6,NORMAL
99.236.197.38,GET,/products/10,0,f,7,7,NORMAL
99.236.197.38,GET,/products/8,0,f,8,8,NORMAL
99.236.197.38,GET,/products/11,0,f,9,9,NORMAL
99.236.197.38,GET,/products/15,0,f,10,10,NORMAL
99.236.197.38,GET,/products/10,0,f,11,11,NORMAL
99.236.197.38,GET,/products/9,0,f,12,12,NORMAL
99.236.197.38,GET,/products/1,0,f,13,13,NORMAL
99.236.197.38,GET,/products/3,0,f,14,14,NORMAL
99.236.197.38,GET,/products/5,0,f,15,15,NORMAL
54.122.66.55,POST,/products/14/stock,60,f,1,1,BLOQUEADO
54.122.66.55,POST,/products/14/stock,60,f,2,2,BLOQUEADO
54.122.66.55,POST,/products/14/stock,60,f,3,3,BLOQUEADO
54.122.66.55,POST,/products/14/stock,110,f,4,4,BLOQUEADO
47.182.132.35,GET,/products/7,0,f,14,14,NORMAL
54.122.66.55,POST,/products/14/stock,150,f,5,5,BLOQUEADO
54.122.66.55,POST,/products/14/stock,150,f,6,6,BLOQUEADO
64.232.35.166,GET,/products/,0,f,1,1,NORMAL
64.232.35.166,POST,/products/6/stock,60,f,2,2,BLOQUEADO
75.255.230.107,GET,/products/7,0,f,1,1,NORMAL
75.255.230.107,GET,/products/8,0,f,2,2,NORMAL
75.255.230.107,GET,/products/15,0,f,3,3,NORMAL
75.255.230.107,GET,/products/12,0,f,4,4,NORMAL
75.255.230.107,GET,/products/12,0,f,5,5,NORMAL
75.255.230.107,GET,/products/6,0,f,6,6,NORMAL
75.255.230.107,GET,/products/4,0,f,7,7,NORMAL
75.255.230.107,GET,/products/7,0,f,8,8,NORMAL
75.255.230.107,GET,/products/10,0,f,9,9,NORMAL
75.255.230.107,GET,/products/18,0,f,10,10,NORMAL
75.255.230.107,GET,/products/14,0,f,11,11,NORMAL
75.255.230.107,GET,/products/14,0,f,12,12,NORMAL
75.255.230.107,GET,/products/13,0,f,13,13,NORMAL
75.255.230.107,GET,/products/13,150,t,14,14,BLOQUEADO
75.255.230.107,GET,/products/14,150,t,15,15,BLOQUEADO
24.139.248.123,GET,/products/,0,f,1,1,NORMAL
24.139.248.123,POST,/products/6/stock,60,f,2,2,BLOQUEADO
53.121.74.11,POST,/products/15/stock,60,f,1,1,BLOQUEADO
53.121.74.11,POST,/products/15/stock,60,f,2,2,BLOQUEADO
53.121.74.11,POST,/products/15/stock,60,f,3,3,BLOQUEADO
53.121.74.11,POST,/products/15/stock,110,f,4,4,BLOQUEADO
53.121.74.11,POST,/products/15/stock,150,f,5,5,BLOQUEADO
53.121.74.11,POST,/products/15/stock,150,f,6,6,BLOQUEADO
47.182.132.35,GET,/products/13,0,f,1,1,NORMAL
47.182.132.35,GET,/products/10,0,f,2,2,NORMAL
47.182.132.35,GET,/products/11,0,f,3,3,NORMAL
47.182.132.35,GET,/products/10,0,f,4,4,NORMAL
47.182.132.35,GET,/products/4,0,f,5,5,NORMAL
47.182.132.35,GET,/products/16,0,f,6,6,NORMAL
47.182.132.35,GET,/products/16,0,f,7,7,NORMAL
47.182.132.35,GET,/products/3,0,f,8,8,NORMAL
47.182.132.35,GET,/products/16,150,t,9,9,BLOQUEADO
47.182.132.35,GET,/products/17,0,f,10,10,NORMAL
47.182.132.35,GET,/products/12,0,f,11,11,NORMAL
47.182.132.35,GET,/products/15,0,f,12,12,NORMAL
47.182.132.35,GET,/products/15,0,f,13,13,NORMAL
47.182.132.35,GET,/products/5,0,f,15,15,NORMAL
72.110.41.209,GET,/products/,0,f,1,1,NORMAL
72.110.41.209,GET,/products/1,0,f,2,2,NORMAL
72.110.41.209,GET,/products/2,0,f,3,3,NORMAL
72.110.41.209,GET,/products/3,0,f,4,4,NORMAL
72.110.41.209,POST,/products/14/stock,60,f,5,5,BLOQUEADO
72.110.41.209,POST,/products/14/stock,60,f,6,6,BLOQUEADO
72.110.41.209,POST,/products/14/stock,110,f,7,7,BLOQUEADO
72.110.41.209,POST,/products/14/stock,110,f,8,8,BLOQUEADO
22.230.238.4,GET,/products/,0,f,1,1,NORMAL
22.230.238.4,GET,/products/15,0,f,2,2,NORMAL
22.230.238.4,POST,/products/15/stock,0,f,3,3,NORMAL
22.230.238.4,GET,/products/,0,f,4,4,NORMAL
61.255.17.63,GET,/products/,0,f,1,1,NORMAL
61.255.17.63,GET,/products/1,0,f,2,2,NORMAL
61.255.17.63,GET,/products/2,0,f,3,3,NORMAL
61.255.17.63,GET,/products/3,0,f,4,4,NORMAL
41.118.173.118,GET,/products/,0,f,1,1,NORMAL
41.118.173.118,POST,/products/3/stock,60,f,2,2,BLOQUEADO
82.218.91.71,GET,/products/,0,f,1,1,NORMAL
82.218.91.71,GET,/products/6,0,f,2,2,NORMAL
82.218.91.71,POST,/products/6/stock,0,f,3,3,NORMAL
82.218.91.71,GET,/products/,0,f,4,4,NORMAL
71.228.137.150,GET,/products/7,0,f,1,1,NORMAL
71.228.137.150,GET,/products/1,0,f,2,2,NORMAL
71.228.137.150,GET,/products/12,0,f,3,3,NORMAL
71.228.137.150,GET,/products/2,0,f,4,4,NORMAL
71.228.137.150,GET,/products/19,0,f,5,5,NORMAL
71.228.137.150,GET,/products/4,0,f,6,6,NORMAL
71.228.137.150,GET,/products/4,0,f,7,7,NORMAL
71.228.137.150,GET,/products/19,150,t,8,8,BLOQUEADO
71.228.137.150,GET,/products/12,0,f,9,9,NORMAL
71.228.137.150,GET,/products/15,0,f,10,10,NORMAL
71.228.137.150,GET,/products/14,0,f,11,11,NORMAL
